,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
221,Cal State Fullerton,Big West,-2.63,-1.98,-4.62,99.18,105.49,-6.30
222,Dartmouth,Ivy,-4.43,-0.22,-4.64,101.43,107.21,-5.79
223,Texas-Arlington,Sun Belt,4.51,-9.19,-4.68,103.09,109.23,-6.14
224,Sam Houston State,Southland,-0.90,-3.88,-4.78,101.80,107.56,-5.75
225,Eastern Washington,Big Sky,4.18,-9.00,-4.82,102.90,109.18,-6.28
226,South Alabama,Sun Belt,-2.97,-1.91,-4.88,99.04,106.51,-7.47
227,Florida Atlantic,CUSA,-5.57,0.60,-4.97,98.08,104.88,-6.80
228,Louisiana-Monroe,Sun Belt,-8.48,3.51,-4.97,94.79,102.89,-8.10
229,Marist,MAAC,-3.98,-1.04,-5.01,97.18,103.71,-6.53
230,Arkansas-Little Rock,Sun Belt,-0.37,-4.81,-5.18,97.37,103.91,-6.54
231,Florida International,CUSA,-3.06,-2.23,-5.29,98.57,105.37,-6.80
232,Hampton,MEAC,-0.64,-4.76,-5.40,91.65,99.37,-7.72
233,Charleston Southern,Big South (South),1.78,-7.26,-5.48,102.89,110.44,-7.55
234,Seattle,WAC,-2.95,-2.58,-5.53,97.72,104.27,-6.55
235,Morgan State,MEAC,-0.28,-5.37,-5.66,97.48,105.21,-7.73
236,Southeast Missouri State,OVC (West),6.42,-12.17,-5.75,104.87,112.59,-7.72
237,Coastal Carolina,Big South (South),-5.38,-0.43,-5.81,93.82,101.69,-7.87
238,Idaho State,Big Sky,-2.96,-2.86,-5.81,100.57,108.88,-8.32
239,Army,Patriot,1.16,-7.05,-5.88,101.90,109.69,-7.80
240,Troy,Sun Belt,-4.66,-1.26,-5.91,99.01,107.45,-8.43
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
241,Mount St. Mary's,NEC,3.72,-9.68,-5.96,103.66,111.34,-7.68
242,Texas A&M-Corpus Christi,Southland,-7.35,1.38,-5.97,99.81,107.18,-7.37
243,North Dakota,Big Sky,1.56,-7.53,-5.98,102.01,110.34,-8.33
244,Saint Peter's,MAAC,-10.47,4.48,-6.00,94.32,102.72,-8.41
245,Northern Arizona,Big Sky,-6.24,0.21,-6.03,98.39,106.66,-8.28
246,Idaho,WAC,0.12,-6.18,-6.06,102.28,110.65,-8.37
247,Lehigh,Patriot,-5.74,-0.51,-6.24,94.51,103.16,-8.65
248,Grand Canyon,WAC,-0.91,-5.40,-6.30,100.82,109.48,-8.67
249,East Tennessee State,A-Sun,1.41,-7.78,-6.37,100.09,108.49,-8.41
250,Pennsylvania,Ivy,-2.05,-4.33,-6.38,96.03,104.47,-8.44
251,Hartford,AEC,-6.65,0.13,-6.52,98.28,107.24,-8.96
252,Hofstra,CAA,-2.50,-4.02,-6.52,101.75,111.39,-9.64
253,South Dakota,Summit,-2.71,-3.89,-6.60,98.89,107.85,-8.96
254,Portland State,Big Sky,-1.65,-4.98,-6.63,100.20,109.40,-9.20
255,Winthrop,Big South (South),-2.32,-4.39,-6.71,99.61,108.87,-9.26
256,Western Carolina,Southern,-0.82,-5.92,-6.74,99.19,108.52,-9.33
257,Illinois-Chicago,Horizon,-3.98,-2.93,-6.91,98.00,107.68,-9.68
258,North Carolina-Asheville,Big South (South),3.19,-10.16,-6.97,102.19,112.11,-9.92
259,Monmouth,MAAC,-4.24,-2.75,-6.98,93.98,103.75,-9.77
260,Virginia Military Institute,Big South (North),9.46,-16.45,-7.00,100.54,110.43,-9.89
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
261,Western Illinois,Summit,-12.24,5.14,-7.11,90.60,101.44,-10.83
262,California-Riverside,Big West,-3.48,-3.68,-7.15,95.44,105.02,-9.59
263,Lafayette,Patriot,0.84,-8.17,-7.33,105.59,115.09,-9.49
264,Fairfield,MAAC,-8.21,0.76,-7.44,92.26,102.73,-10.46
265,Sacramento State,Big Sky,-4.63,-2.81,-7.44,100.71,111.38,-10.67
266,Gardner-Webb,Big South (South),-3.69,-3.80,-7.49,94.87,104.93,-10.07
267,James Madison,CAA,-7.14,-0.39,-7.53,94.54,105.67,-11.13
268,San Jose State,MWC,-6.72,-0.83,-7.55,93.10,104.23,-11.12
269,Texas State,Sun Belt,-11.52,3.95,-7.56,92.25,103.02,-10.77
270,North Florida,A-Sun,-0.69,-6.90,-7.59,99.51,109.80,-10.29
271,Texas Southern,SWAC,0.57,-8.42,-7.85,101.76,112.26,-10.50
272,Norfolk State,MEAC,-5.04,-2.81,-7.86,98.66,109.73,-11.08
273,Tulane,CUSA,-6.74,-1.28,-8.02,97.91,110.27,-12.36
274,Radford,Big South (North),-0.19,-7.98,-8.17,101.90,113.44,-11.54
275,Niagara,MAAC,2.54,-10.78,-8.24,98.71,109.30,-10.59
276,Tennessee Tech,OVC (East),-3.57,-4.73,-8.30,96.85,108.34,-11.50
277,Incarnate Word,Southland,0.20,-8.53,-8.34,98.98,109.88,-10.90
278,Central Michigan,MAC (West),-0.42,-7.98,-8.39,104.04,116.20,-12.16
279,Lipscomb,A-Sun,1.26,-9.78,-8.53,99.40,111.33,-11.93
280,Missouri-Kansas City,WAC,-3.05,-5.61,-8.66,94.85,105.95,-11.11
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
281,North Carolina-Wilmington,CAA,-8.90,0.25,-8.66,92.71,105.02,-12.31
282,High Point,Big South (North),-5.02,-3.91,-8.93,99.85,112.15,-12.30
283,Rice,CUSA,-8.64,-0.62,-9.25,92.22,106.14,-13.92
284,Savannah State,MEAC,-11.90,2.41,-9.48,87.84,101.27,-13.43
285,Ball State,MAC (West),-4.47,-5.17,-9.64,94.10,107.70,-13.61
286,Tennessee State,OVC (East),-5.22,-4.83,-10.05,98.64,112.78,-14.14
287,Montana State,Big Sky,-8.47,-1.65,-10.13,92.89,107.76,-14.87
288,Chicago State,WAC,-1.65,-8.50,-10.15,95.56,109.36,-13.80
289,Loyola (MD),Patriot,-6.17,-4.14,-10.31,93.44,108.30,-14.85
290,Texas-Pan American,WAC,-7.75,-2.70,-10.45,90.85,105.71,-14.86
291,Liberty,Big South (North),-6.72,-3.77,-10.49,96.94,111.60,-14.66
292,Chattanooga,Southern,-2.21,-8.32,-10.53,95.68,109.98,-14.31
293,Northern Kentucky,A-Sun,-5.78,-4.88,-10.67,99.69,115.30,-15.61
294,Southern Illinois-Edwardsville,OVC (West),-3.54,-7.25,-10.78,97.13,111.96,-14.83
295,Austin Peay,OVC (West),-0.33,-10.47,-10.80,96.29,110.76,-14.47
296,Texas-San Antonio,CUSA,-1.42,-9.48,-10.90,98.54,114.12,-15.58
297,Coppin State,MEAC,-3.07,-7.86,-10.93,97.21,112.98,-15.78
298,Fairleigh Dickinson,NEC,-3.62,-7.44,-11.06,98.32,113.83,-15.51
299,California-Davis,Big West,-1.66,-9.43,-11.09,98.55,114.17,-15.61
300,Jackson State,SWAC,-8.94,-2.28,-11.23,90.04,105.35,-15.31
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
301,Georgia Southern,Southern,-5.75,-5.67,-11.42,94.54,110.39,-15.85
302,Navy,Patriot,-12.42,0.75,-11.67,88.04,105.63,-17.59
303,Eastern Illinois,OVC (West),-7.24,-4.51,-11.75,94.25,111.06,-16.81
304,Alabama State,SWAC,-4.87,-7.12,-11.99,93.08,109.79,-16.71
305,Jacksonville,A-Sun,-0.30,-11.71,-12.02,99.58,116.22,-16.64
306,Jacksonville State,OVC (East),-10.54,-1.55,-12.10,93.93,111.22,-17.29
307,Florida A&M,MEAC,-3.78,-8.43,-12.21,89.94,106.75,-16.82
308,North Carolina-Greensboro,Southern,-4.32,-7.97,-12.29,91.77,108.53,-16.76
309,NJIT,Ind,-4.72,-7.66,-12.38,92.96,110.38,-17.41
310,Delaware State,MEAC,-13.53,0.97,-12.55,92.63,111.46,-18.83
311,Sacred Heart,NEC,-3.87,-8.97,-12.84,94.99,112.42,-17.43
312,Southeastern Louisiana,Southland,-7.51,-5.42,-12.93,94.99,112.57,-17.58
313,Nicholls State,Southland,-7.72,-5.23,-12.95,94.42,112.17,-17.75
314,McNeese State,Southland,-5.93,-7.05,-12.98,93.01,110.57,-17.57
315,Central Connecticut State,NEC,-2.89,-10.15,-13.04,93.49,110.94,-17.45
316,Saint Francis (PA),NEC,-11.88,-1.21,-13.08,91.57,111.16,-19.59
317,Alabama A&M,SWAC,-11.65,-1.83,-13.48,87.09,105.69,-18.61
318,Long Island University,NEC,-1.33,-12.20,-13.53,98.87,117.80,-18.93
319,Massachusetts-Lowell,AEC,-10.20,-3.38,-13.58,91.46,111.12,-19.66
320,Tennessee-Martin,OVC (West),-0.96,-12.70,-13.65,98.87,117.43,-18.56
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
