Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/12/13,Morgan St,75,Towson,95,Loss
11/12/13,Michigan St,78,Kentucky,74,Win
11/12/13,Kentucky,74,Michigan St,78,Loss
11/12/13,Bradley,80,C Michigan,70,Win
11/12/13,C Michigan,70,Bradley,80,Loss
11/12/13,Oklahoma St,93,Utah Valley,40,Win
11/12/13,Utah Valley,40,Oklahoma St,93,Loss
11/12/13,Vanderbilt,86,Georgia St,80,Win
11/12/13,Georgia St,80,Vanderbilt,86,Loss
11/12/13,Minnesota,84,Montana,58,Win
11/12/13,Montana,58,Minnesota,84,Loss
11/12/13,Ohio St,79,Ohio,69,Win
11/12/13,Ohio,69,Ohio St,79,Loss
11/12/13,Citadel,82,Presbyterian,68,Win
11/12/13,Presbyterian,68,Citadel,82,Loss
11/12/13,Kansas,94,Duke,83,Win
11/12/13,Duke,83,Kansas,94,Loss
11/12/13,California,77,Denver,50,Win
11/12/13,Denver,50,California,77,Loss
11/12/13,Nevada,60,Cal Poly SLO,58,Win
11/12/13,Cal Poly SLO,58,Nevada,60,Loss
11/12/13,Pacific,84,UC Irvine,79,Win
11/12/13,UC Irvine,79,Pacific,84,Loss
11/12/13,USC,95,CS Northridge,79,Win
11/12/13,CS Northridge,79,USC,95,Loss
11/12/13,Wagner,75,Chestnut Hill,67,Win
11/12/13,Chestnut Hill,67,Wagner,75,Loss
11/12/13,Savannah St,73,TN Temple,63,Win
11/12/13,TN Temple,63,Savannah St,73,Loss
11/12/13,Santa Clara,89,San Jose St,77,Win
11/12/13,San Jose St,77,Santa Clara,89,Loss
11/12/13,Jacksonville,101,Florida Col,72,Win
11/12/13,Florida Col,72,Jacksonville,101,Loss
11/12/13,N Colorado,98,Colorado Chr,74,Win
11/12/13,Colorado Chr,74,N Colorado,98,Loss
11/12/13,Arizona St,90,Miami OH,54,Win
11/12/13,Miami OH,54,Arizona St,90,Loss
11/12/13,UCLA,91,Oakland,60,Win
11/12/13,Oakland,60,UCLA,91,Loss
11/12/13,Nebraska,62,W Illinois,47,Win
11/12/13,W Illinois,47,Nebraska,62,Loss
11/12/13,UT Arlington,88,Samford,75,Win
11/12/13,Samford,75,UT Arlington,88,Loss
11/12/13,Missouri,72,S Illinois,59,Win
11/12/13,S Illinois,59,Missouri,72,Loss
11/12/13,Xavier,67,Tennessee,63,Win
11/12/13,Tennessee,63,Xavier,67,Loss
11/12/13,Utah St,90,Southern Utah,57,Win
11/12/13,Southern Utah,57,Utah St,90,Loss
11/12/13,Wisconsin,59,Florida,53,Win
11/12/13,Florida,53,Wisconsin,59,Loss
11/12/13,La Salle,73,Quinnipiac,67,Win
11/12/13,Quinnipiac,67,La Salle,73,Loss
11/12/13,William & Mary,84,Liberty,72,Win
11/12/13,Liberty,72,William & Mary,84,Loss
11/12/13,Drexel,78,Illinois St,70,Win
11/12/13,Illinois St,70,Drexel,78,Loss
11/12/13,New Orleans,81,Millsaps,45,Win
11/12/13,Millsaps,45,New Orleans,81,Loss
11/12/13,Texas,84,South Alabama,77,Win
11/12/13,South Alabama,77,Texas,84,Loss
11/12/13,Virginia Tech,87,West Virginia,82,Win
11/12/13,West Virginia,82,Virginia Tech,87,Loss
11/12/13,Baylor,66,South Carolina,64,Win
11/12/13,South Carolina,64,Baylor,66,Loss
11/12/13,Indiana,73,Long Island,72,Win
11/12/13,Long Island,72,Indiana,73,Loss
11/12/13,Evansville,84,IUPUI,78,Win
11/12/13,IUPUI,78,Evansville,84,Loss
11/12/13,Santa Barbara,86,UNLV,65,Win
11/12/13,UNLV,65,Santa Barbara,86,Loss
11/12/13,Cincinnati,68,NC State,57,Win
11/12/13,NC State,57,Cincinnati,68,Loss
11/12/13,Murray St,97,Brescia,69,Win
11/12/13,Brescia,69,Murray St,97,Loss
11/12/13,G Washington,108,Maine,81,Win
11/12/13,Maine,81,G Washington,108,Loss
11/12/13,South Florida,91,Bethune-Cookman,65,Win
11/12/13,Bethune-Cookman,65,South Florida,91,Loss
11/12/13,FL Gulf Coast,65,Hartford,51,Win
11/12/13,Hartford,51,FL Gulf Coast,65,Loss
11/12/13,Massachusetts,92,LSU,90,Win
11/12/13,LSU,90,Massachusetts,92,Loss
11/12/13,Wake Forest,98,VMI,71,Win
11/12/13,VMI,71,Wake Forest,98,Loss
11/12/13,Marshall,119,Rio Grande,77,Win
11/12/13,Rio Grande,77,Marshall,119,Loss
11/12/13,Florida Intl,93,Warren Wilson,56,Win
11/12/13,Warren Wilson,56,Florida Intl,93,Loss
11/12/13,Syracuse,89,Fordham,74,Win
11/12/13,Fordham,74,Syracuse,89,Loss
11/12/13,Col Charleston,83,Charlotte,82,Win
11/12/13,Charlotte,82,Col Charleston,83,Loss
11/12/13,Louisville,97,Hofstra,69,Win
11/12/13,Hofstra,69,Louisville,97,Loss
11/12/13,High Point,94,Ferrum,64,Win
11/12/13,Ferrum,64,High Point,94,Loss
11/12/13,George Mason,68,Lamar,54,Win
11/12/13,Lamar,54,George Mason,68,Loss
11/12/13,Morehead St,71,ETSU,63,Win
11/12/13,ETSU,63,Morehead St,71,Loss
