Date,Team,Opponent,Team Score,Opponent Score,Team Result
2/2/13,Ark Pine Bluff,Alabama St,81,77,Win
2/2/13,Alabama St,Ark Pine Bluff,77,81,Loss
2/2/13,Albany NY,Binghamton,79,46,Win
2/2/13,Binghamton,Albany NY,46,79,Loss
2/2/13,Jackson St,Alcorn St,84,71,Win
2/2/13,Alcorn St,Jackson St,71,84,Loss
2/2/13,American Univ,Lafayette,68,64,Win
2/2/13,Lafayette,American Univ,64,68,Loss
2/2/13,Appalachian St,W Carolina,74,65,Win
2/2/13,W Carolina,Appalachian St,65,74,Loss
2/2/13,South Alabama,Ark Little Rock,70,66,Win
2/2/13,Ark Little Rock,South Alabama,66,70,Loss
2/2/13,Arkansas,Tennessee,73,60,Win
2/2/13,Tennessee,Arkansas,60,73,Loss
2/2/13,Arkansas St,North Texas,75,66,Win
2/2/13,North Texas,Arkansas St,66,75,Loss
2/2/13,Belmont,Tennessee Tech,74,52,Win
2/2/13,Tennessee Tech,Belmont,52,74,Loss
2/2/13,Bethune-Cookman,Florida A&M,67,65,Win
2/2/13,Florida A&M,Bethune-Cookman,65,67,Loss
2/2/13,Boise St,UNLV,77,72,Win
2/2/13,UNLV,Boise St,72,77,Loss
2/2/13,Boston College,Clemson,75,68,Win
2/2/13,Clemson,Boston College,68,75,Loss
2/2/13,Bowling Green,Ball St,70,59,Win
2/2/13,Ball St,Bowling Green,59,70,Loss
2/2/13,Bucknell,Navy,69,54,Win
2/2/13,Navy,Bucknell,54,69,Loss
2/2/13,Butler,Rhode Island,75,68,Win
2/2/13,Rhode Island,Butler,68,75,Loss
2/2/13,BYU,Santa Clara,96,79,Win
2/2/13,Santa Clara,BYU,79,96,Loss
2/2/13,Miami OH,C Michigan,70,61,Win
2/2/13,C Michigan,Miami OH,61,70,Loss
2/2/13,California,Oregon,58,54,Win
2/2/13,Oregon,California,54,58,Loss
2/2/13,UNC Asheville,Campbell,78,61,Win
2/2/13,Campbell,UNC Asheville,61,78,Loss
2/2/13,Canisius,Iona,77,74,Win
2/2/13,Iona,Canisius,74,77,Loss
2/2/13,Cent Arkansas,Nicholls St,79,76,Win
2/2/13,Nicholls St,Cent Arkansas,76,79,Loss
2/2/13,Charlotte,Massachusetts,66,65,Win
2/2/13,Massachusetts,Charlotte,65,66,Loss
