Date,Team,Opponent,Team Score,Opponent Score,Team Result
1/19/13,Duquesne,VA Commonwealth,63,90,Loss
1/19/13,E Michigan,Miami OH,65,58,Win
1/19/13,Miami OH,E Michigan,58,65,Loss
1/19/13,Elon,Wofford,68,61,Win
1/19/13,Wofford,Elon,61,68,Loss
1/19/13,North Texas,FL Atlantic,61,59,Win
1/19/13,FL Atlantic,North Texas,59,61,Loss
1/19/13,FL Gulf Coast,N Kentucky,73,54,Win
1/19/13,N Kentucky,FL Gulf Coast,54,73,Loss
1/19/13,Florida,Missouri,83,52,Win
1/19/13,Missouri,Florida,52,83,Loss
1/19/13,Florida Intl,Troy,61,55,Win
1/19/13,Troy,Florida Intl,55,61,Loss
1/19/13,Nevada,Fresno St,68,61,Win
1/19/13,Fresno St,Nevada,61,68,Loss
1/19/13,Citadel,Ga Southern,70,55,Win
1/19/13,Ga Southern,Citadel,55,70,Loss
1/19/13,Radford,Gardner Webb,52,51,Win
1/19/13,Gardner Webb,Radford,51,52,Loss
1/19/13,George Mason,Hofstra,57,46,Win
1/19/13,Hofstra,George Mason,46,57,Loss
1/19/13,Georgia,LSU,67,58,Win
1/19/13,LSU,Georgia,58,67,Loss
1/19/13,Jackson St,Grambling,57,46,Win
1/19/13,Grambling,Jackson St,46,57,Loss
1/19/13,Morgan St,Hampton,80,78,Win
1/19/13,Hampton,Morgan St,78,80,Loss
1/19/13,Albany NY,Hartford,56,46,Win
1/19/13,Hartford,Albany NY,46,56,Loss
1/19/13,UC Davis,Hawaii,93,82,Win
1/19/13,Hawaii,UC Davis,82,93,Loss
1/19/13,Holy Cross,American Univ,79,60,Win
1/19/13,American Univ,Holy Cross,60,79,Loss
1/19/13,UCF,Houston,79,75,Win
1/19/13,Houston,UCF,75,79,Loss
1/19/13,Northern Arizona,Idaho St,60,55,Win
1/19/13,Idaho St,Northern Arizona,55,60,Loss
1/19/13,Indiana St,Evansville,72,62,Win
1/19/13,Evansville,Indiana St,62,72,Loss
1/19/13,Iowa,Wisconsin,70,66,Win
1/19/13,Wisconsin,Iowa,66,70,Loss
1/19/13,Missouri KC,IPFW,63,59,Win
1/19/13,IPFW,Missouri KC,59,63,Loss
1/19/13,S Dakota St,IUPUI,80,65,Win
1/19/13,IUPUI,S Dakota St,65,80,Loss
1/19/13,E Kentucky,Jacksonville St,73,62,Win
1/19/13,Jacksonville St,E Kentucky,62,73,Loss
1/19/13,Kansas St,Oklahoma,69,60,Win
1/19/13,Oklahoma,Kansas St,60,69,Loss
1/19/13,ETSU,Kennesaw,70,60,Win
1/19/13,Kennesaw,ETSU,60,70,Loss
1/19/13,Akron,Kent,71,67,Win
1/19/13,Kent,Akron,67,71,Loss
1/19/13,Lehigh,Colgate,60,45,Win
1/19/13,Colgate,Lehigh,45,60,Loss
1/19/13,Long Island,Monmouth NJ,75,65,Win
1/19/13,Monmouth NJ,Long Island,65,75,Loss
1/19/13,Louisiana Tech,Seattle,78,71,Win
1/19/13,Seattle,Louisiana Tech,71,78,Loss
1/19/13,Syracuse,Louisville,70,68,Win
1/19/13,Louisville,Syracuse,68,70,Loss
1/19/13,Binghamton,Maine,57,56,Win
1/19/13,Maine,Binghamton,56,57,Loss
1/19/13,Marist,St Peter's,59,48,Win
1/19/13,St Peter's,Marist,48,59,Loss
1/19/13,Marshall,East Carolina,77,56,Win
1/19/13,East Carolina,Marshall,56,77,Loss
1/19/13,G Washington,Massachusetts,79,76,Win
1/19/13,Massachusetts,G Washington,76,79,Loss
1/19/13,McNeese St,Lamar,74,50,Win
1/19/13,Lamar,McNeese St,50,74,Loss
1/19/13,MD E Shore,Delaware St,58,53,Win
1/19/13,Delaware St,MD E Shore,53,58,Loss
1/19/13,Memphis,Harvard,60,50,Win
1/19/13,Harvard,Memphis,50,60,Loss
1/19/13,Mercer,SC Upstate,82,74,Win
1/19/13,SC Upstate,Mercer,74,82,Loss
1/19/13,Michigan St,Ohio St,59,56,Win
1/19/13,Ohio St,Michigan St,56,59,Loss
1/19/13,Middle Tenn St,ULL,82,60,Win
1/19/13,ULL,Middle Tenn St,60,82,Loss
1/19/13,Mississippi,Arkansas,76,64,Win
1/19/13,Arkansas,Mississippi,64,76,Loss
1/19/13,Montana,Montana St,76,71,Win
1/19/13,Montana St,Montana,71,76,Loss
1/19/13,MS Valley St,Prairie View,73,64,Win
1/19/13,Prairie View,MS Valley St,64,73,Loss
1/19/13,Murray St,Edwardsville,70,61,Win
1/19/13,Edwardsville,Murray St,61,70,Loss
1/19/13,N Colorado,E Washington,72,56,Win
1/19/13,E Washington,N Colorado,56,72,Loss
1/19/13,W Michigan,N Illinois,71,34,Win
1/19/13,N Illinois,W Michigan,34,71,Loss
1/19/13,NC A&T,Howard,61,37,Win
1/19/13,Howard,NC A&T,37,61,Loss
1/19/13,Boston Univ,New Hampshire,69,59,Win
1/19/13,New Hampshire,Boston Univ,59,69,Loss
1/19/13,New Mexico St,San Jose St,70,53,Win
1/19/13,San Jose St,New Mexico St,53,70,Loss
1/19/13,Niagara,Manhattan,64,60,Win
1/19/13,Manhattan,Niagara,60,64,Loss
1/19/13,Norfolk St,Coppin St,75,68,Win
1/19/13,Coppin St,Norfolk St,68,75,Loss
1/19/13,North Carolina,Maryland,62,52,Win
1/19/13,Maryland,North Carolina,52,62,Loss
1/19/13,North Dakota,Portland St,85,76,Win
1/19/13,Portland St,North Dakota,76,85,Loss
1/19/13,Northwestern LA,SE Louisiana,103,68,Win
1/19/13,SE Louisiana,Northwestern LA,68,103,Loss
1/19/13,Notre Dame,Rutgers,69,66,Win
1/19/13,Rutgers,Notre Dame,66,69,Loss
1/19/13,South Dakota,Oakland,97,78,Win
1/19/13,Oakland,South Dakota,78,97,Loss
1/19/13,Ohio,Toledo,76,67,Win
1/19/13,Toledo,Ohio,67,76,Loss
1/19/13,Oklahoma St,Texas Tech,79,45,Win
1/19/13,Texas Tech,Oklahoma St,45,79,Loss
1/19/13,Georgia St,Old Dominion,69,54,Win
1/19/13,Old Dominion,Georgia St,54,69,Loss
1/19/13,Nebraska,Penn St,68,64,Win
1/19/13,Penn St,Nebraska,64,68,Loss
1/19/13,Santa Clara,Pepperdine,83,76,Win
1/19/13,Pepperdine,Santa Clara,76,83,Loss
1/19/13,Pittsburgh,Connecticut,69,61,Win
1/19/13,Connecticut,Pittsburgh,61,69,Loss
1/19/13,St Mary's CA,Portland,60,38,Win
1/19/13,Portland,St Mary's CA,38,60,Loss
1/19/13,Presbyterian,Liberty,68,60,Win
1/19/13,Liberty,Presbyterian,60,68,Loss
1/19/13,Providence,Villanova,69,66,Win
1/19/13,Villanova,Providence,66,69,Loss
1/19/13,Purdue,West Virginia,79,52,Win
1/19/13,West Virginia,Purdue,52,79,Loss
1/19/13,Rice,New Orleans,95,71,Win
1/19/13,New Orleans,Rice,71,95,Loss
1/19/13,Richmond,Charlotte,81,61,Win
1/19/13,Charlotte,Richmond,61,81,Loss
1/19/13,Robert Morris,Quinnipiac,87,75,Win
1/19/13,Quinnipiac,Robert Morris,75,87,Loss
1/19/13,Bethune-Cookman,S Carolina St,60,52,Win
1/19/13,S Carolina St,Bethune-Cookman,52,60,Loss
1/19/13,Oral Roberts,Sam Houston St,65,61,Win
1/19/13,Sam Houston St,Oral Roberts,61,65,Loss
1/19/13,Samford,Appalachian St,72,68,Win
1/19/13,Appalachian St,Samford,68,72,Loss
1/19/13,San Francisco,Loy Marymount,62,53,Win
1/19/13,Loy Marymount,San Francisco,53,62,Loss
1/19/13,Santa Barbara,Cal Poly SLO,83,81,Win
1/19/13,Cal Poly SLO,Santa Barbara,81,83,Loss
1/19/13,Savannah St,Florida A&M,57,55,Win
1/19/13,Florida A&M,Savannah St,55,57,Loss
1/19/13,SE Missouri St,Tennessee Tech,74,62,Win
1/19/13,Tennessee Tech,SE Missouri St,62,74,Loss
1/19/13,SF Austin,Nicholls St,72,49,Win
1/19/13,Nicholls St,SF Austin,49,72,Loss
1/19/13,Vanderbilt,South Carolina,58,51,Win
1/19/13,South Carolina,Vanderbilt,51,58,Loss
1/19/13,South Florida,Georgetown,61,58,Win
1/19/13,Georgetown,South Florida,58,61,Loss
1/19/13,Southern Miss,UAB,74,59,Win
1/19/13,UAB,Southern Miss,59,74,Loss
1/19/13,St Francis NY,F Dickinson,70,51,Win
1/19/13,F Dickinson,St Francis NY,51,70,Loss
1/19/13,Sacred Heart,St Francis PA,75,72,Win
1/19/13,St Francis PA,Sacred Heart,72,75,Loss
1/19/13,St Joseph's PA,Penn,79,59,Win
1/19/13,Penn,St Joseph's PA,59,79,Loss
1/19/13,Rhode Island,St Louis,82,80,Win
1/19/13,St Louis,Rhode Island,80,82,Loss
1/19/13,Stanford,California,69,59,Win
1/19/13,California,Stanford,59,69,Loss
1/19/13,Stetson,Lipscomb,85,69,Win
1/19/13,Lipscomb,Stetson,69,85,Loss
1/19/13,Cent Arkansas,TAM C. Christi,76,67,Win
1/19/13,TAM C. Christi,Cent Arkansas,67,76,Loss
1/19/13,Iowa St,TCU,63,50,Win
1/19/13,TCU,Iowa St,50,63,Loss
1/19/13,St Bonaventure,Temple,81,78,Win
1/19/13,Temple,St Bonaventure,78,81,Loss
1/19/13,Tennessee,Mississippi St,72,57,Win
1/19/13,Mississippi St,Tennessee,57,72,Loss
1/19/13,Kansas,Texas,64,59,Win
1/19/13,Texas,Kansas,59,64,Loss
1/19/13,Morehead St,TN Martin,88,74,Win
1/19/13,TN Martin,Morehead St,74,88,Loss
1/19/13,Towson,James Madison,73,47,Win
1/19/13,James Madison,Towson,47,73,Loss
1/19/13,Tulane,Tulsa,75,72,Win
1/19/13,Tulsa,Tulane,72,75,Loss
1/19/13,TX Pan American,Utah Valley,62,60,Win
1/19/13,Utah Valley,TX Pan American,60,62,Loss
1/19/13,UC Riverside,UC Irvine,68,58,Win
1/19/13,UC Irvine,UC Riverside,58,68,Loss
1/19/13,Oregon,UCLA,76,67,Win
1/19/13,UCLA,Oregon,67,76,Loss
1/19/13,UNC Asheville,Longwood,68,65,Win
1/19/13,Longwood,UNC Asheville,65,68,Loss
1/19/13,USC,Oregon St,69,68,Win
1/19/13,Oregon St,USC,68,69,Loss
1/19/13,Idaho,UT Arlington,77,64,Win
1/19/13,UT Arlington,Idaho,64,77,Loss
1/19/13,Texas St,UT San Antonio,81,78,Win
1/19/13,UT San Antonio,Texas St,78,81,Loss
1/19/13,UTEP,SMU,63,54,Win
1/19/13,SMU,UTEP,54,63,Loss
1/19/13,Valparaiso,Wright St,69,63,Win
1/19/13,Wright St,Valparaiso,63,69,Loss
1/19/13,Virginia,Florida St,56,36,Win
1/19/13,Florida St,Virginia,36,56,Loss
1/19/13,Virginia Tech,Wake Forest,66,65,Win
1/19/13,Wake Forest,Virginia Tech,65,66,Loss
1/19/13,W Illinois,N Dakota St,50,42,Win
1/19/13,N Dakota St,W Illinois,42,50,Loss
1/19/13,Ark Little Rock,W Kentucky,59,54,Win
1/19/13,W Kentucky,Ark Little Rock,54,59,Loss
1/19/13,Utah,Washington,74,65,Win
1/19/13,Washington,Utah,65,74,Loss
1/19/13,Colorado,Washington St,58,49,Win
1/19/13,Washington St,Colorado,49,58,Loss
1/19/13,Weber St,CS Sacramento,65,56,Win
1/19/13,CS Sacramento,Weber St,56,65,Loss
1/19/13,WI Green Bay,Cleveland St,77,50,Win
1/19/13,Cleveland St,WI Green Bay,50,77,Loss
1/19/13,Youngstown St,WI Milwaukee,75,72,Win
1/19/13,WI Milwaukee,Youngstown St,72,75,Loss
1/19/13,Wichita St,Creighton,67,64,Win
1/19/13,Creighton,Wichita St,64,67,Loss
1/19/13,Drexel,William & Mary,59,48,Win
1/19/13,William & Mary,Drexel,48,59,Loss
1/19/13,Wyoming,San Diego St,58,45,Win
1/19/13,San Diego St,Wyoming,45,58,Loss
1/19/13,Xavier,La Salle,70,63,Win
1/19/13,La Salle,Xavier,63,70,Loss
1/18/13,Iona,Fairfield,84,73,Win
1/18/13,Fairfield,Iona,73,84,Loss
1/18/13,Jacksonville,North Florida,77,68,Win
1/18/13,North Florida,Jacksonville,68,77,Loss
1/18/13,Vermont,Stony Brook,81,73,Win
1/18/13,Stony Brook,Vermont,73,81,Loss
1/17/13,Edwardsville,Austin Peay,66,53,Win
1/17/13,Austin Peay,Edwardsville,53,66,Loss
1/17/13,Belmont,E Kentucky,83,76,Win
1/17/13,E Kentucky,Belmont,76,83,Loss
1/17/13,Bryant,Mt St Mary's,79,78,Win
1/17/13,Mt St Mary's,Bryant,78,79,Loss
1/17/13,Canisius,Manhattan,64,60,Win
1/17/13,Manhattan,Canisius,60,64,Loss
1/17/13,Central Conn,Wagner,73,66,Win
1/17/13,Wagner,Central Conn,66,73,Loss
1/17/13,Chattanooga,Appalachian St,91,88,Win
1/17/13,Appalachian St,Chattanooga,88,91,Loss
1/17/13,UC Irvine,CS Fullerton,92,65,Win
1/17/13,CS Fullerton,UC Irvine,65,92,Loss
1/17/13,UC Davis,CS Northridge,74,71,Win
1/17/13,CS Northridge,UC Davis,71,74,Loss
1/17/13,Davidson,Citadel,70,38,Win
1/17/13,Citadel,Davidson,38,70,Loss
1/17/13,Denver,San Jose St,73,37,Win
1/17/13,San Jose St,Denver,37,73,Loss
1/17/13,Valparaiso,Detroit,89,88,Win
1/17/13,Detroit,Valparaiso,88,89,Loss
1/17/13,Duke,Georgia Tech,73,57,Win
1/17/13,Georgia Tech,Duke,57,73,Loss
1/17/13,Elon,Furman,73,59,Win
1/17/13,Furman,Elon,59,73,Loss
1/17/13,Long Island,F Dickinson,79,75,Win
1/17/13,F Dickinson,Long Island,75,79,Loss
1/17/13,FL Atlantic,Troy,80,59,Win
1/17/13,Troy,FL Atlantic,59,80,Loss
1/17/13,Lipscomb,FL Gulf Coast,87,78,Win
1/17/13,FL Gulf Coast,Lipscomb,78,87,Loss
1/17/13,Florida Intl,North Texas,70,64,Win
1/17/13,North Texas,Florida Intl,64,70,Loss
1/17/13,Ga Southern,Col Charleston,51,47,Win
1/17/13,Col Charleston,Ga Southern,47,51,Loss
1/17/13,Hawaii,Pacific,60,52,Win
1/17/13,Pacific,Hawaii,52,60,Loss
1/17/13,Idaho St,CS Sacramento,60,59,Win
1/17/13,CS Sacramento,Idaho St,59,60,Loss
1/17/13,Northwestern,Illinois,68,54,Win
1/17/13,Illinois,Northwestern,54,68,Loss
1/17/13,IPFW,South Dakota,62,60,Win
1/17/13,South Dakota,IPFW,60,62,Loss
1/17/13,N Dakota St,IUPUI,78,40,Win
1/17/13,IUPUI,N Dakota St,40,78,Loss
1/17/13,SC Upstate,Kennesaw,66,54,Win
1/17/13,Kennesaw,SC Upstate,54,66,Loss
1/17/13,Louisiana Tech,Idaho,72,66,Win
1/17/13,Idaho,Louisiana Tech,66,72,Loss
1/17/13,Loyola MD,Marist,72,58,Win
1/17/13,Marist,Loyola MD,58,72,Loss
1/17/13,Massachusetts,Duquesne,79,66,Win
1/17/13,Duquesne,Massachusetts,66,79,Loss
1/17/13,Mercer,ETSU,78,59,Win
1/17/13,ETSU,Mercer,59,78,Loss
1/17/13,Middle Tenn St,Ark Little Rock,82,50,Win
1/17/13,Ark Little Rock,Middle Tenn St,50,82,Loss
1/17/13,Michigan,Minnesota,83,75,Win
1/17/13,Minnesota,Michigan,75,83,Loss
1/17/13,Montana,Southern Utah,73,67,Win
1/17/13,Southern Utah,Montana,67,73,Loss
1/17/13,Murray St,E Illinois,70,49,Win
1/17/13,E Illinois,Murray St,49,70,Loss
1/17/13,N Colorado,Portland St,67,50,Win
1/17/13,Portland St,N Colorado,50,67,Loss
1/17/13,New Mexico St,Utah St,64,51,Win
1/17/13,Utah St,New Mexico St,51,64,Loss
1/17/13,Niagara,Siena,87,64,Win
1/17/13,Siena,Niagara,64,87,Loss
1/17/13,Penn,NJIT,54,53,Win
1/17/13,NJIT,Penn,53,54,Loss
1/17/13,North Dakota,E Washington,65,47,Win
1/17/13,E Washington,North Dakota,47,65,Loss
1/17/13,Nicholls St,Northwestern LA,93,78,Win
1/17/13,Northwestern LA,Nicholls St,78,93,Loss
1/17/13,Oakland,Missouri KC,81,68,Win
1/17/13,Missouri KC,Oakland,68,81,Loss
1/17/13,Gonzaga,Portland,71,49,Win
1/17/13,Portland,Gonzaga,49,71,Loss
1/17/13,Robert Morris,Sacred Heart,66,62,Win
1/17/13,Sacred Heart,Robert Morris,62,66,Loss
1/17/13,Rutgers,South Florida,70,67,Win
1/17/13,South Florida,Rutgers,67,70,Loss
1/17/13,Sam Houston St,Cent Arkansas,63,52,Win
1/17/13,Cent Arkansas,Sam Houston St,52,63,Loss
1/17/13,Samford,W Carolina,64,60,Win
1/17/13,W Carolina,Samford,60,64,Loss
1/17/13,San Diego,Loy Marymount,78,70,Win
1/17/13,Loy Marymount,San Diego,70,78,Loss
1/17/13,Santa Clara,San Francisco,85,54,Win
1/17/13,San Francisco,Santa Clara,54,85,Loss
1/17/13,Morehead St,SE Missouri St,75,59,Win
1/17/13,SE Missouri St,Morehead St,59,75,Loss
1/17/13,SF Austin,SE Louisiana,52,40,Win
1/17/13,SE Louisiana,SF Austin,40,52,Loss
1/17/13,South Alabama,ULM,71,56,Win
1/17/13,ULM,South Alabama,56,71,Loss
1/17/13,Monmouth NJ,St Francis NY,71,67,Win
1/17/13,St Francis NY,Monmouth NJ,67,71,Loss
1/17/13,Quinnipiac,St Francis PA,75,66,Win
1/17/13,St Francis PA,Quinnipiac,66,75,Loss
1/17/13,Rider,St Peter's,66,54,Win
1/17/13,St Peter's,Rider,54,66,Loss
1/17/13,Stetson,N Kentucky,71,59,Win
1/17/13,N Kentucky,Stetson,59,71,Loss
1/17/13,Oral Roberts,TAM C. Christi,64,52,Win
1/17/13,TAM C. Christi,Oral Roberts,52,64,Loss
1/17/13,Tennessee St,Jacksonville St,66,60,Win
1/17/13,Jacksonville St,Tennessee St,60,66,Loss
1/17/13,Florida,Texas A&M,68,47,Win
1/17/13,Texas A&M,Florida,47,68,Loss
1/17/13,Long Beach St,UC Riverside,91,82,Win
1/17/13,UC Riverside,Long Beach St,82,91,Loss
1/17/13,UCLA,Oregon St,74,64,Win
1/17/13,Oregon St,UCLA,64,74,Loss
1/17/13,Oregon,USC,76,74,Win
1/17/13,USC,Oregon,74,76,Loss
1/17/13,Seattle,UT Arlington,61,44,Win
1/17/13,UT Arlington,Seattle,44,61,Loss
1/17/13,VA Commonwealth,St Joseph's PA,92,86,Win
1/17/13,St Joseph's PA,VA Commonwealth,86,92,Loss
1/17/13,S Dakota St,W Illinois,59,53,Win
1/17/13,W Illinois,S Dakota St,53,59,Loss
1/17/13,W Kentucky,ULL,72,49,Win
1/17/13,ULL,W Kentucky,49,72,Loss
1/17/13,Weber St,Northern Arizona,83,70,Win
1/17/13,Northern Arizona,Weber St,70,83,Loss
1/17/13,WI Green Bay,Youngstown St,67,58,Win
1/17/13,Youngstown St,WI Green Bay,58,67,Loss
1/17/13,WI Milwaukee,Cleveland St,69,57,Win
1/17/13,Cleveland St,WI Milwaukee,57,69,Loss
1/16/13,Akron,Ball St,71,64,Win
1/16/13,Ball St,Akron,64,71,Loss
1/16/13,Lehigh,American Univ,63,57,Win
1/16/13,American Univ,Lehigh,57,63,Loss
1/16/13,Arkansas,Auburn,88,80,Win
1/16/13,Auburn,Arkansas,80,88,Loss
1/16/13,Army,Lafayette,77,54,Win
1/16/13,Lafayette,Army,54,77,Loss
1/16/13,New Mexico,Boise St,79,74,Win
1/16/13,Boise St,New Mexico,74,79,Loss
1/16/13,Miami FL,Boston College,60,59,Win
1/16/13,Boston College,Miami FL,59,60,Loss
1/16/13,Kent,Buffalo,80,68,Win
1/16/13,Buffalo,Kent,68,80,Loss
1/16/13,Butler,Richmond,62,47,Win
1/16/13,Richmond,Butler,47,62,Loss
1/16/13,St Mary's CA,BYU,70,69,Win
1/16/13,BYU,St Mary's CA,69,70,Loss
1/16/13,Charleston So,UNC Asheville,74,68,Win
1/16/13,UNC Asheville,Charleston So,68,74,Loss
1/16/13,Charlotte,Fordham,74,68,Win
1/16/13,Fordham,Charlotte,68,74,Loss
1/16/13,Bucknell,Colgate,73,59,Win
1/16/13,Colgate,Bucknell,59,73,Loss
1/16/13,Colorado St,Air Force,79,40,Win
1/16/13,Air Force,Colorado St,40,79,Loss
1/16/13,Towson,Delaware,69,66,Win
1/16/13,Delaware,Towson,66,69,Loss
1/16/13,Drake,Evansville,83,69,Win
1/16/13,Evansville,Drake,69,83,Loss
1/16/13,East Carolina,Houston,89,78,Win
1/16/13,Houston,East Carolina,78,89,Loss
1/16/13,Fresno St,Wyoming,49,36,Win
1/16/13,Wyoming,Fresno St,36,49,Loss
1/16/13,Temple,G Washington,55,53,Win
1/16/13,G Washington,Temple,53,55,Loss
1/16/13,Gardner Webb,Coastal Car,66,65,Win
1/16/13,Coastal Car,Gardner Webb,65,66,Loss
1/16/13,George Mason,James Madison,68,57,Win
1/16/13,James Madison,George Mason,57,68,Loss
1/16/13,Georgetown,Providence,74,65,Win
1/16/13,Providence,Georgetown,65,74,Loss
1/16/13,Georgia St,William & Mary,74,58,Win
1/16/13,William & Mary,Georgia St,58,74,Loss
1/16/13,High Point,Liberty,77,72,Win
1/16/13,Liberty,High Point,72,77,Loss
1/16/13,IL Chicago,Loyola-Chicago,61,59,Win
1/16/13,Loyola-Chicago,IL Chicago,59,61,Loss
1/16/13,Indiana St,Missouri St,68,60,Win
1/16/13,Missouri St,Indiana St,60,68,Loss
1/16/13,Iowa St,West Virginia,69,67,Win
1/16/13,West Virginia,Iowa St,67,69,Loss
1/16/13,La Salle,Dayton,72,70,Win
1/16/13,Dayton,La Salle,70,72,Loss
1/16/13,South Carolina,LSU,82,73,Win
1/16/13,LSU,South Carolina,73,82,Loss
1/16/13,Marquette,Seton Hall,69,62,Win
1/16/13,Seton Hall,Marquette,62,69,Loss
1/16/13,Maryland,NC State,51,50,Win
1/16/13,NC State,Maryland,50,51,Loss
1/16/13,MD Baltimore Co,Hartford,70,57,Win
1/16/13,Hartford,MD Baltimore Co,57,70,Loss
1/16/13,Miami OH,Bowling Green,63,60,Win
1/16/13,Bowling Green,Miami OH,60,63,Loss
1/16/13,Alabama,Mississippi St,75,43,Win
1/16/13,Mississippi St,Alabama,43,75,Loss
1/16/13,Missouri,Georgia,79,62,Win
1/16/13,Georgia,Missouri,62,79,Loss
1/16/13,Holy Cross,Navy,62,47,Win
1/16/13,Navy,Holy Cross,47,62,Loss
1/16/13,Purdue,Nebraska,65,56,Win
1/16/13,Nebraska,Purdue,56,65,Loss
1/16/13,Albany NY,New Hampshire,68,62,Win
1/16/13,New Hampshire,Albany NY,62,68,Loss
1/16/13,Northeastern,Hofstra,65,60,Win
1/16/13,Hofstra,Northeastern,60,65,Loss
1/16/13,Ohio,N Illinois,81,63,Win
1/16/13,N Illinois,Ohio,63,81,Loss
1/16/13,Oklahoma,Texas Tech,81,63,Win
1/16/13,Texas Tech,Oklahoma,63,81,Loss
1/16/13,Michigan St,Penn St,81,72,Win
1/16/13,Penn St,Michigan St,72,81,Loss
1/16/13,Radford,Longwood,82,72,Win
1/16/13,Longwood,Radford,72,82,Loss
1/16/13,Memphis,Rice,77,51,Win
1/16/13,Rice,Memphis,51,77,Loss
1/16/13,UNLV,San Diego St,82,75,Win
1/16/13,San Diego St,UNLV,75,82,Loss
1/16/13,Southern Miss,SMU,74,70,Win
1/16/13,SMU,Southern Miss,70,74,Loss
1/16/13,Xavier,St Bonaventure,66,64,Win
1/16/13,St Bonaventure,Xavier,64,66,Loss
1/16/13,Kansas St,TCU,67,54,Win
1/16/13,TCU,Kansas St,54,67,Loss
1/16/13,Tulsa,UTEP,45,42,Win
1/16/13,UTEP,Tulsa,42,45,Loss
1/16/13,UNC Greensboro,Wofford,71,52,Win
1/16/13,Wofford,UNC Greensboro,52,71,Loss
1/16/13,UNC Wilmington,Old Dominion,65,60,Win
1/16/13,Old Dominion,UNC Wilmington,60,65,Loss
1/16/13,Vermont,Binghamton,61,37,Win
1/16/13,Binghamton,Vermont,37,61,Loss
1/16/13,Pittsburgh,Villanova,58,43,Win
1/16/13,Villanova,Pittsburgh,43,58,Loss
1/16/13,VMI,Campbell,76,57,Win
1/16/13,Campbell,VMI,57,76,Loss
1/16/13,W Michigan,Toledo,79,56,Win
1/16/13,Toledo,W Michigan,56,79,Loss
1/16/13,Washington,Colorado,64,54,Win
1/16/13,Colorado,Washington,54,64,Loss
1/16/13,Washington St,Utah,75,65,Win
1/16/13,Utah,Washington St,65,75,Loss
1/16/13,Wichita St,Illinois St,74,62,Win
1/16/13,Illinois St,Wichita St,62,74,Loss
1/16/13,Winthrop,Presbyterian,62,51,Win
1/16/13,Presbyterian,Winthrop,51,62,Loss
1/15/13,Bradley,S Illinois,69,66,Win
1/15/13,S Illinois,Bradley,66,69,Loss
1/15/13,Clemson,Wake Forest,60,44,Win
1/15/13,Wake Forest,Clemson,44,60,Loss
1/15/13,Creighton,Northern Iowa,79,68,Win
1/15/13,Northern Iowa,Creighton,68,79,Loss
1/15/13,Cincinnati,DePaul,75,70,Win
1/15/13,DePaul,Cincinnati,70,75,Loss
1/15/13,E Michigan,C Michigan,58,52,Win
1/15/13,C Michigan,E Michigan,52,58,Loss
1/15/13,Wisconsin,Indiana,64,59,Win
1/15/13,Indiana,Wisconsin,59,64,Loss
1/15/13,Kentucky,Tennessee,75,65,Win
1/15/13,Tennessee,Kentucky,65,75,Loss
1/15/13,St John's,Notre Dame,67,63,Win
1/15/13,Notre Dame,St John's,63,67,Loss
1/15/13,Stony Brook,Boston Univ,75,48,Win
1/15/13,Boston Univ,Stony Brook,48,75,Loss
1/15/13,Mississippi,Vanderbilt,89,79,Win
1/15/13,Vanderbilt,Mississippi,79,89,Loss
1/14/13,Ark Pine Bluff,Alcorn St,62,52,Win
1/14/13,Alcorn St,Ark Pine Bluff,52,62,Loss
1/14/13,Appalachian St,UNC Greensboro,83,70,Win
1/14/13,UNC Greensboro,Appalachian St,70,83,Loss
1/14/13,NC Central,Bethune-Cookman,75,66,Win
1/14/13,Bethune-Cookman,NC Central,66,75,Loss
1/14/13,Col Charleston,Citadel,73,69,Win
1/14/13,Citadel,Col Charleston,69,73,Loss
1/14/13,Louisville,Connecticut,73,58,Win
1/14/13,Connecticut,Louisville,58,73,Loss
1/14/13,Coppin St,S Carolina St,79,58,Win
1/14/13,S Carolina St,Coppin St,58,79,Loss
1/14/13,NJIT,F Dickinson,66,63,Win
1/14/13,F Dickinson,NJIT,63,66,Loss
1/14/13,NC A&T,Florida A&M,68,40,Win
1/14/13,Florida A&M,NC A&T,40,68,Loss
1/14/13,Furman,Wofford,69,65,Win
1/14/13,Wofford,Furman,65,69,Loss
1/14/13,Ga Southern,Davidson,70,57,Win
1/14/13,Davidson,Ga Southern,57,70,Loss
1/14/13,Hampton,Quinnipiac,70,64,Win
1/14/13,Quinnipiac,Hampton,64,70,Loss
1/14/13,Norfolk St,Howard,54,49,Win
1/14/13,Howard,Norfolk St,49,54,Loss
1/14/13,Weber St,Idaho St,70,54,Win
1/14/13,Idaho St,Weber St,54,70,Loss
1/14/13,Kansas,Baylor,61,44,Win
1/14/13,Baylor,Kansas,44,61,Loss
1/14/13,Savannah St,Morgan St,78,70,Win
1/14/13,Morgan St,Savannah St,70,78,Loss
1/14/13,Prairie View,Jackson St,73,59,Win
1/14/13,Jackson St,Prairie View,59,73,Loss
1/14/13,Southern Univ,MS Valley St,88,54,Win
1/14/13,MS Valley St,Southern Univ,54,88,Loss
1/14/13,TX Southern,Grambling,95,50,Win
1/14/13,Grambling,TX Southern,50,95,Loss
1/14/13,UTEP,Houston Bap,72,44,Win
1/14/13,Houston Bap,UTEP,44,72,Loss
1/14/13,Elon,W Carolina,80,67,Win
